id;Title;Author;ISBN;Publisher;Price
738;Echoes from the Dead (Skumtimmen);Coletta Whitloe;161101652-5;Trudeo;20.1
739;Haunted World of Edward D. Wood Jr., The;Sheeree Rickards;553197494-9;Youtags;87.9
740;Little Lili (La petite Lili);Fanya Mitcheson;728062306-9;Topdrive;39.3
741;Went to Coney Island on a Mission From God... Be Back by Five;Judye Lambersen;952880348-2;Flipbug;31.5
742;Lt. Robin Crusoe, U.S.N.;Pasquale Ryland;995112590-5;Edgepulse;13.6
743;Ruby;Nikolos Pache;587686862-0;Kwinu;90.3
744;Numb;Darby Corrigan;934229854-0;Teklist;65.8
745;Quartier Mozart;Timothy Roke;881097122-1;Trilia;72.2
746;Human Tornado, The;Zacharias Alpin;413292504-8;Babbleopia;25.2
747;Jerusalem Countdown;Dilan McCarroll;509250591-5;Eayo;30.4
748;Baghban;Petronella Deeny;510058067-4;Podcat;22.4
749;Sparkle;Bealle Kalisz;815973772-6;Mybuzz;33.2
750;Highway Racer;Cordell Akid;392306446-2;Buzzdog;95.4
751;Smiling Fish and Goat on Fire;Dennie Harteley;439830619-6;Blogtags;35.1
752;Revengers Tragedy;Eunice Fleischer;201753806-X;Jatri;33.3
753;Moving Midway;Martina Hauch;837772964-4;Demimbu;26.1
754;Page One: Inside the New York Times;Cross Abdie;994287399-6;LiveZ;57.0
755;Dungeonmaster, The;Alana Mollitt;686885114-6;Fliptune;70.2
756;Sorority House Massacre II;Oneida Carless;686241230-2;Skinder;54.1
757;Barren Lives (Vidas Secas);Junie Millmore;396600983-8;Leexo;73.6
758;New York;Reamonn Yurevich;401833889-9;Buzzster;60.9
759;Scanner Darkly, A;Trenton Sinkinson;965502081-9;Kwinu;79.2
760;Last Lovecraft: Relic of Cthulhu, The;Wally Condon;202803513-7;Omba;38.9
761;Soapdish;Merissa Skurray;994317110-3;Browsedrive;21.3
762;Man in the Middle;Domenico Viccary;281791944-0;Thoughtbridge;23.1
763;Heaven Can Wait;Mala Jaggard;316578140-0;Rhyzio;97.7
764;Instinct;Jordanna Elton;834694297-4;Centidel;93.3
765;Budz House;Clareta Harradence;435673632-X;Kimia;4.6
766;Sunshine State;Lev Perton;592287570-1;Blogpad;46.9
767;Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau);Otha Trunby;976602413-8;Mymm;71.7
768;Life Back Then (Antoki no inochi);Christian Liverock;775913490-8;Oyoloo;4.0
769;Stone Cold;Aundrea Houldey;103094134-3;Yodo;88.4
770;Hoop Realities;Arlee Paumier;025645205-9;Snaptags;73.5
771;Strip Search;Nariko Hicks;355435158-X;Eamia;91.5
772;Mortuary;Borden Roulston;902715225-X;Tavu;76.1
773;Killjoy Goes to Hell;Helaine Stead;601798750-X;Yacero;43.9
774;Oak, The (Balanta);Beverie McKinn;332778608-9;Blognation;93.4
775;Ghostmaker, The (Box of Shadows);Nester Oliffe;787726873-4;Yakitri;7.0
776;Excuse My Dust;Datha Zorzutti;826105791-7;Twitterwire;31.9
777;Scarecrow, The;Annis Oakton;570831560-1;Mycat;61.6
778;Shameless (Maskeblomstfamilien );Phillis Gracewood;309476635-8;Jabbercube;96.5
779;Into Eternity;Angela Gosling;462354782-5;Oloo;98.5
780;Feast;Wayne Dunkirk;215177589-5;Bluezoom;51.5
781;Climax, The;Darrin Bolderstone;347175593-4;Edgewire;16.1
782;Frankenstein 90;Rosie Marlin;691497693-7;Bubblebox;42.5
783;Kung Phooey!;Tamera Wavish;027095356-6;Quimm;51.0
784;Sessions, The (Surrogate, The);Jan Espinazo;702904521-1;Livefish;93.1
785;The Challenge;Antone Fantone;227266751-1;Browsezoom;89.8
786;Craigslist Joe;Teodoor Biasioli;681458626-6;Thoughtstorm;23.4
787;Institute, The;Reuben Yakov;843257553-4;Rhyzio;25.8
788;Riddick;Ashleigh Moxley;275389019-6;Topdrive;67.2
789;Heart of a Dog (Sobachye serdtse);Atlanta Stotherfield;146715269-2;Zoovu;57.0
790;Disorder;Lilian Entreis;821033899-4;Photospace;78.0
791;Exit Wounds;Tammy Simione;226683886-5;Blogtags;65.4
792;Watermark;Zena Pentycross;987683639-0;Kare;57.8
793;The Five Man Army;Karine Nester;492131886-7;Yacero;94.1
794;Mechanic, The;Brand Goford;641643622-1;Voolith;10.4
795;Better This World;Onfroi Radband;693536947-9;Photobug;96.7
796;Light Years (Gandahar);Romola Mulmuray;159161063-X;Shufflester;49.6
797;S.W.A.T.: Firefight;Robbert Merlin;994537931-3;Quinu;99.4
798;Young at Heart;Elvera Elvidge;985947149-5;Shuffletag;58.0
799;Story of Ruth, The;Claribel Correa;635337075-X;Twinte;76.6
800;The Gamers;Suzy Shillito;977691169-2;Meemm;98.4
801;Seven Samurai (Shichinin no samurai);Konstantin Stoeckle;737472283-4;Npath;7.6
802;Fame High;Haleigh Fischer;907053778-8;Devshare;41.7
803;Tooth Fairy;Mercie Niven;342753123-6;Aivee;57.2
804;National Lampoon's Pucked;Tomkin Norewood;481355913-1;Livefish;31.6
805;Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles;Dido Kuhnke;220292246-6;Shuffledrive;48.6
806;Irina Palm;Beckie Rainville;313512373-1;Skiptube;77.8
807;Identity;Sybille Harefoot;985731197-0;Yambee;61.9
808;D.E.B.S.;Irene Merman;749011037-8;Jabberbean;82.5
809;Patton;Tammie Seaman;682799939-4;Meembee;50.0
810;Paris Trout;Portia Pesterfield;400628650-3;Avamba;90.2
811;Great Buck Howard, The;Moira Benoi;552006093-2;Trilith;19.3
812;Iceberg, L';Benedict Brotheridge;871599319-1;Omba;28.8
813;Bomb It;Vicky Hartwright;759077939-3;Npath;65.4
814;Defiant Ones, The;Alex Crawshaw;062258760-9;Dablist;90.3
815;Abraham Lincoln: Vampire Hunter;Kingsly Summergill;836143530-1;Babbleset;37.4
816;Violet & Daisy;Artemis Marklund;649479644-3;Twitternation;10.2
817;8MM;Norbie Barkworth;986045180-X;Mycat;95.8
818;Purple Gang, The;Jess Bacup;498869193-4;Cogilith;21.7
819;Neighbors;Riordan Mac Giolla Pheadair;409949492-6;Miboo;17.9
820;Science of Sleep, The (La science des rêves);Lea Shipperbottom;712884907-6;Jayo;84.0
821;Cold Fish (Tsumetai nettaigyo);Franz Lewty;541730477-8;Mymm;77.4
822;Step Up;Worthington Bridgeman;644879974-5;Ooba;61.0
823;Aspen;Bear Boylin;788835536-6;Skidoo;16.7
824;Through and Through (Na wylot);Marianne Jurczyk;749227603-6;Linktype;59.4
825;Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma);Ferris Petrus;900723180-4;Thoughtstorm;34.6
826;Kathleen;Torr Challen;033973034-X;Teklist;18.3
827;A Walk in the Old City of Warsaw;Rosabella Steely;444396084-8;Feednation;64.3
828;Bridge to Nowhere, The;Orion Whale;082656479-8;Buzzster;80.8
829;Blue Swallow (Cheong yeon);Chrisy Neilly;752825717-6;Blogtags;11.6
830;Boots and Saddles;Aloisia Dey;713978459-0;Dabshots;95.0
831;Gidget;Cornelius Egell;465120149-0;Photobean;31.4
832;Good Morning, Miss Dove;Frederigo Pummery;506099267-5;Quire;30.6
833;Three Caballeros, The;Kiele Van den Oord;522219422-1;Topdrive;60.7
834;Paradise Lost: The Child Murders at Robin Hood Hills;Roshelle Dulson;978214340-5;Yakidoo;65.0
835;Win a Date with Tad Hamilton!;Lira Klimowicz;041076694-1;Mymm;24.0
836;Red Hook Summer;Cullen Blunsom;279281725-9;Lajo;42.0
837;Yellow Handkerchief, The;Philip Stoffel;635886598-6;Aimbo;98.5
838;Bandaged;Sigfrid Strut;136709953-6;Tazz;69.7
839;I'm Not There;Toby Copelli;938345613-2;Zoonoodle;43.1
840;Dogville;Anthe Androsik;849562327-7;Skalith;12.1
841;Bomb the System;Magdalena Hultberg;116333256-9;Quire;31.0
842;Pandorum;Griffith Wheble;925484487-X;Feedfire;4.1
843;These Three;Katrine Trammel;226641093-8;Edgeify;80.4
844;Ignition;Lewie Adnet;751360338-3;Twimm;98.7
845;Undertow;Olympe Hehir;769409510-5;Dabvine;35.2
846;Bad Lieutenant: Port of Call New Orleans;Allyson Gerrard;333182937-4;Tagopia;45.0
847;Elena and Her Men (Paris Does Strange Things) (Elena et les hommes);Brady Rosling;574601419-2;Twiyo;25.7
848;Ass Backwards;Ives Newbold;086909379-7;Feedspan;67.4
849;Shade;Rodolph Mahony;043991189-3;Kaymbo;11.6
850;Next Man, The;Marrissa Byford;794723998-3;Ainyx;93.4
851;Inn of the Sixth Happiness, The;Bobina Becker;605392943-3;Eazzy;15.6
852;Innocence;Laetitia Croucher;263075327-1;Cogilith;97.8
853;Great Directors;Stuart Ingre;818618435-X;Blogspan;93.6
854;Forest for the Trees, The (Der Wald vor lauter Bäumen);Alexina Ladell;647177504-0;LiveZ;34.6
855;Senseless;Lynde Jaquest;118418792-4;Innotype;31.3
856;It's a Boy Girl Thing;Lotte Roles;818958973-3;Feednation;43.7
857;Phar Lap;Stanleigh Gadsby;102102802-9;Camimbo;9.3
858;Deliverance;Florette Bayles;054546666-0;Yotz;43.3
859;Cold Around the Heart;Karissa Colomb;329884158-7;Innotype;44.7
860;Mr. Hobbs Takes a Vacation;Idaline Turneux;018819841-5;Eabox;77.3
861;Je préfère qu'on reste amis;Frank De Matteis;240045376-4;Gigaclub;96.6
862;Five-Year Engagement, The;Amerigo Prigmore;443494409-6;Quinu;89.3
863;Hider in the House;Peyton Newens;614395237-X;Brainbox;55.1
864;Batman: Gotham Knight;Murial Avramovitz;626651690-X;Twitternation;55.7
865;Love Story 2050;Drucy Ellor;893932941-4;Zooxo;29.0
866;King of Texas;Rita Agates;797109165-6;BlogXS;27.5
867;Whatever Happened to Harold Smith?;Bridgette Gregoretti;401127004-0;Livepath;89.4
868;Gabrielle;Magnum Zollner;247862095-2;Shuffledrive;63.4
869;Roman Polanski: Wanted and Desired;Elna McNeice;347518718-3;Dabshots;84.0
870;Majestic, The;Derron Houtby;100045277-8;Camimbo;53.0
871;Beverly Hills Cop III;Nerta Gingell;636916869-6;Shufflester;61.4
872;Kids Return (Kizzu ritân);Antoine Schuh;497595558-X;Blognation;20.7
873;Great White Hype, The;Phebe Signorelli;448810979-9;Kwideo;78.6
874;Neighbouring Sounds (O som ao redor);Alfi Arnaudin;131365205-9;Avaveo;51.5
875;2013 Rock and Roll Hall of Fame Induction Ceremony, The;Mattias Rickets;838801248-7;Skyndu;11.3
876;Last Winter, The;Kristin Bourthoumieux;263230874-7;Shuffletag;8.5
877;Mood Indigo (L'écume des jours);Trstram Mathis;007721544-3;Kwilith;30.6
878;Dirty Carnival, A (Biyeolhan geori);Rosabel Carryer;708484726-X;Edgetag;91.6
879;Attack!;Alfi Pietersen;113991131-7;Feednation;4.7
880;Two Lives (Zwei Leben);Harlie Doulden;189115761-2;Snaptags;37.4
881;Sisters (Syostry);Quentin McCluin;961714394-1;Photojam;22.0
882;Torrente 4: Lethal Crisis;Edythe Mein;714952693-4;Feedmix;61.1
883;Desk Set;Hannie Flament;385616849-4;Teklist;69.5
884;List of Adrian Messenger, The;Matilda Culpin;202518795-5;Twitterlist;45.3
885;Wit;Evy Conner;123715093-0;Mybuzz;21.0
886;For All Mankind;Benn Fogg;306190062-4;Innojam;90.6
887;Mother and Son (Mat i syn);Dulcia Safe;940242987-5;InnoZ;3.1
888;Daens;Matthew Suscens;904174249-2;Brainbox;74.2
889;Sweeney Todd: The Demon Barber of Fleet Street;Duncan Despenser;724049834-4;Viva;28.4
890;Chesty: A Tribute to a Legend;Chan Hellard;308816645-X;Zoombeat;8.0
891;Zatoichi the Outlaw (Zatôichi rôyaburi) (Zatôichi 16);Rollin Berard;866952138-5;Chatterpoint;38.0
892;I Live My Life;Fawne Tsar;989870180-3;Topicware;25.8
893;Castle of the Living Dead (Castello Dei Morti Vivi, Il);Kerby Esselen;639943028-3;Omba;94.3
894;Nightcap (Merci pour le chocolat);Klarrisa Brodley;634545568-7;Rhynyx;92.6
895;Evil Dead, The;Werner O'Mahoney;053653663-5;Livefish;77.5
896;Twilight Saga: Eclipse, The;Goraud Writer;246781244-8;LiveZ;47.3
897;Munyurangabo;Elsbeth Servante;387492853-5;Izio;75.1
898;Beverly Hills Cop III;Bondie Mines;967278843-6;Avamba;74.6
899;Kein Bund für's Leben;Griffith Leglise;994725467-4;Blogpad;95.7
900;Hidden Agenda;Shelba Lait;794913420-8;Trupe;6.2
901;Lucky One, The;Claire Dugood;842467206-2;Jaloo;60.8
902;What About Dick?;Murry Wilden;907546202-6;Bluezoom;12.1
903;Zero Years, The;Tiphany Andreas;996410510-X;Fivespan;76.1
904;Contact;Alla Paolini;945247715-6;Dabtype;71.8
905;Summer of Blood;Carl Ammer;480193359-9;Jazzy;62.6
906;Mr. Woodcock;Cherianne Gladden;973713709-4;Kazu;96.9
907;I Am Sam;Hasheem Harwick;776232887-4;Bubblebox;73.0
908;Salon Kitty;Cobby Redhills;630836375-8;Teklist;57.2
909;Malcolm X;Nata Houdmont;779461203-9;Eadel;97.2
910;Marked for Death;Odell Brittian;237020036-7;Realpoint;76.5
911;Water-mirror of Granada;Byram Taleworth;770054437-9;Chatterbridge;20.2
912;Too Many Girls;Lynna Francioli;912236592-3;Snaptags;72.1
913;Wrong Side Up (Pribehy obycejneho silenstvi);Stesha Jaskiewicz;498950730-4;Twinder;66.6
914;Queen - Rock Montreal;Keenan Rushmer;873538134-5;Edgeify;54.8
915;Two Times Lotte;Lishe Adamiak;850536669-7;Yotz;12.3
916;I Spit on Your Grave 2 ;Genevieve Paquet;581870342-8;Twitterwire;37.7
917;Apartment 4E ;Cherye Shirlaw;858580960-4;Youtags;34.8
918;Breaking the Maya Code;Emlynne Santo;287799707-3;Skinder;69.3
919;Singin' in the Rain;Judi Biddell;591219899-5;Jabbertype;37.3
920;Johnny Cash at Folsom Prison;Bertina Lisle;352101172-0;Voolia;88.2
921;Poltergeist III;Bessie Ebbing;851487370-9;Zoomdog;82.2
922;Room for One More;Quincey Pilmoor;119035860-3;Browsezoom;8.5
923;Rough Magic;Morry Peebles;461718294-2;Vinder;54.5
924;Space Amoeba (Yog: Monster from Space);Thorny Arney;297568913-6;Dabfeed;97.0
925;Life and Times of Allen Ginsberg, The;Zach Landall;220100988-0;Oyope;67.1
926;Excision;Dani Langtry;956460472-9;Einti;15.7
927;Dancing in the Rain (Ples v dezju);Roxi Rixon;916627880-5;Blognation;65.3
928;Coup de torchon (Clean Slate);Quincy Pettyfar;077345725-9;Yozio;78.6
929;Amityville Curse, The;Reynold Mungin;279094128-9;Browsezoom;92.3
930;Luther;Benyamin Metrick;565040114-4;Twinte;95.7
931;Noose, The (Petla);Hedi Beenham;374414213-2;Twinder;33.9
932;By the Bluest of Seas (U samogo sinego morya);Alverta Amey;344122293-8;Tekfly;6.5
933;God's Sandbox (Tahara);Arluene Lathaye;954708911-0;Tanoodle;88.0
934;Magnificent Seven, The;Monika Downey;898631914-4;Jabbersphere;86.0
935;Stardust Memories;Gelya Wilman;277491070-6;Eadel;48.5
936;Entity;Gretna Whittek;382830968-2;Blogtag;88.9
937;All the King's Men;Claudian Shelper;059231603-3;Brainsphere;60.6
938;Man of the Year, The (O Homem do Ano);Keith Alvy;747763899-2;Yozio;95.7
939;Las Vegas Story, The;Georgiana Lowery;107247807-2;Tagopia;64.4
940;Loose Cannons;Dan Parkman;510625816-2;Mymm;73.7
941;Interrupters, The;Irena Wann;764672954-X;Voonyx;14.8
942;Haunting in Connecticut 2: Ghosts of Georgia, The;Lory Urey;501929734-8;Jabbersphere;98.0
943;Godfather: Part II, The;Yolanthe Woofinden;903196336-4;Quinu;39.4
944;Nasty Girl, The (schreckliche Mädchen, Das);Ferne Barns;847091857-5;Divavu;39.9
945;Sita Sings the Blues;Fionnula Sexcey;744763608-8;Fatz;73.2
946;SherryBaby;Antin Ox;339488980-3;Ozu;51.9
947;File on Thelma Jordan, The;Zabrina Ghilardi;943331296-1;Tavu;55.1
948;Dexter the Dragon & Bumble the Bear (a.k.a. Dragon That Wasn't (Or Was He?), The) (Als je begrijpt wat ik bedoel);Davida Brunner;565386035-2;Tagopia;83.9
949;RoboCop;Hillel Ambrosetti;927536475-3;Omba;33.6
950;Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000);Philis Lownie;255938471-X;Quatz;66.9
951;Summer Wars (Samâ wôzu);Teri Chadwin;645314388-7;Buzzbean;27.0
952;Forrest Gump;Elroy Twinn;840348090-3;Vipe;50.3
953;Comedy Central Roast of Bob Saget;Tallie Petrus;181538244-9;Meembee;38.3
954;Bridges of Madison County, The;Jen Redan;167070945-0;Devify;89.2
955;Hunted, The;Buddy Dodsworth;110632076-X;Vinder;10.5
956;Crawling Eye, The (a.k.a. Trollenberg Terror, The);Boyd Witnall;566624176-1;Skajo;67.0
957;Hostage;Fawn Daughtry;547919351-1;Demizz;46.5
958;Topper Takes a Trip;Romona Feavyour;013952203-4;Rhybox;50.4
959;Manhattan Murder Mystery;Georgina O'Fihily;967148572-3;Trupe;56.7
960;Simpsons: The Longest Daycare, The;Devonna Patroni;033400808-5;Yakijo;39.5
961;Legion;Lurleen MacColgan;416573443-8;Youfeed;93.4
962;Quiet American, The;Diahann Cayley;478147424-1;Minyx;64.4
963;We Are Marshall;Antons Sharville;878926553-X;Avamm;25.9
964;Waltz with Bashir (Vals im Bashir);Nissy Billingham;037027480-6;Edgeify;69.4
965;P2;Giacomo Dudlestone;862481211-9;Yakitri;9.6
966;Volunteers;Elisabeth Jagg;691126336-0;Chatterpoint;17.9
967;Million Dollar Duck, The (a.k.a. $1,000,000 Duck);Caritta Lambricht;794672570-1;Brainbox;32.4
968;You and Me;Vinita Meads;845614046-5;Youspan;94.0
969;Oh, Sun (Soleil O);Ibby Pioli;202557113-5;Realbuzz;39.7
970;Adjuster, The;Ninnette Dugan;937299880-X;Muxo;69.7
971;Alice;Evangelin Whitehead;406822258-4;Babbleblab;85.9
972;Laggies;Robb Sjostrom;184396727-8;Eabox;81.0
973;Analyze That;Ferdinand Lukash;457043724-9;Fivespan;70.8
974;Good Girl, The;Karel Blunsen;994735957-3;Jaxbean;95.4
975;Hypocrites;Benedict MacLaverty;607186929-3;Voomm;27.4
976;Lair of the White Worm, The;Patrizia Boulton;528534424-7;Digitube;18.2
977;Missing Person, The;Madalena Ricci;235143060-3;Yamia;46.1
978;Demonic Toys;Fernanda Moan;454079175-3;Podcat;36.5
979;Battlestar Galactica: The Plan;Valida Tavernor;172089243-1;Quatz;9.9
980;Toys in the Attic;Vanda Leroux;013194620-X;Dynabox;37.7
981;Poison Ivy II;Natassia Elstob;498816009-2;Brightdog;22.7
982;Mark of the Devil (Hexen bis aufs Blut gequält);Minnnie Ayre;513931825-3;Devcast;19.0
983;Night of the Zombies (a.k.a. Batallion of the Living Dead);Zaccaria Longman;827034833-3;Jabbersphere;85.8
984;Day He Arrives, The (Book chon bang hyang);Reeba Wisniowski;386080995-4;Teklist;8.0
985;Seafarers, The;Adaline Commusso;360127682-8;Thoughtbeat;85.5
986;Keyhole;Algernon Launchbury;755852305-2;Skibox;12.8
987;Dreamlife of Angels, The (Vie rêvée des anges, La);Kiri Spinella;301155983-X;Wordify;21.1
988;The Beautiful Story;Jacinta Jeppe;611101561-3;Quimm;18.0
989;When the Wind Blows;Tina Leggon;281712557-6;Chatterbridge;80.9
990;Privilege;Cecilla Labbe;583926510-1;Latz;76.7
991;Calculator;Aloise Noke;139333666-3;Lazz;56.9
992;Creature Comforts;Dorette Ockleshaw;221997929-6;Centidel;90.6
993;Pagemaster, The;Augustine Lappin;205534461-7;Gabcube;53.8
994;The Big Shave;Saba Thresher;553589227-0;Quire;76.2
995;Oath, The;Hodge MacSorley;151610026-3;Twinder;50.9
996;The Thirteen Assassins;Carlyn Colmer;125039123-7;Brightdog;87.9
997;Day of the Falcon;Guinevere Dearnaley;303247041-2;Thoughtbridge;17.5
998;8 Heads in a Duffel Bag;Lemar Kenwright;915956228-5;Miboo;39.9
999;Axed;Nye Breem;412822650-5;Reallinks;18.2
1000;Devils, The;Rossie MacGiolla Pheadair;447630818-X;Gigabox;11.4
